index,text,gold_label,model_label,raw_output,correct,latency_s
1,"房间细小、地毡恐布，空调不够、服务差劣。应立刻取消预订服务。 免费注册 网站导航 宾馆索引 服务说明 关于携程 诚聘英才 代理合作 广告业务 联系我们 Copyright1999-2008, ctrip.com. all rights reserved.",负面,负面,"{""label"": ""负面""}",True,2.45
2,6月26日予定7月2日入住的房间 1、6月27日得到确认。 2、7月2日早上来电说给我们房间升级。 3、办理入住，却把我们放到了离开海边很远的天津工人疗养院，曰：有会议，没有房间，周围事工地、房间霉味严重、离海500米。原来这就是升级！ 3、很官僚的机关作风。 以上就是经历。,负面,负面,"{""label"": ""负面""}",True,2.73
3,饮食调补离不开食物的性能和应用，这本书对一些常吃的食物的性味、功能、主治、用量用法、禁忌等都有注解；在?医食同源，药补不如食补”的理论下，能对日常生活中做到食而治病、食而防病、食而补身。很全面和专业的一本书，实用性也是相当强的，这样的价格还是很对得起它的内容的，强烈推荐大家购买，对家庭健康很有帮助！买了两本，一本送人，一本自己留着用：）,正面,正面,"{""label"": ""正面""}",True,3.04
4,性价比非常好的一款，推荐购买！ 自己又添了一根2G的条子，用起来超爽！,正面,正面,"{""label"": ""正面""}",True,1.89
5,我昨天收到的书，质量还不错，而且配有光盘，光盘质量也还较清晰。我以前也学过一点瑜珈，看了书中描写，还以前学得差不多，应该是比较适合初学者的，总体难度不是很大。光盘的内容和书中的讲解一致。书中除了瑜珈基本动作的介绍，最后章节有一些食疗介绍，感觉也比较实用。总体来说，对这本书还是比较满意的，唯一的一点小小的遗憾就是我订购的第二天这本书就除降价了，不过降得不多，呵呵,正面,正面,"{""label"": ""正面""}",True,3.05
6,首先，交通相对来说，非常便利，从quarry bay地铁站的c出口到酒店不超过5分钟。酒店斜对面是有轨电车，也非常方便。 房间总体不错，以前印象中香港酒店的差印象有所改善。Room service也还可以。 性价比不错，值得推荐。,正面,正面,"{""label"": ""正面""}",True,2.49
7,外观跟我想象的不一样 ，是康博的电脑，一查原来也属于HP。没有系统，很麻烦的，也没有驱动盘，我觉得应该送驱动盘。到现在我的SM总线都没驱起来。管网上也没有。,负面,负面,"{""label"": ""负面""}",True,2.24
8,初五住的，这么冷的天没有暖气，没有热水。携程预定前台说没有收到。总之感觉很业余。,负面,负面,"{""label"": ""负面""}",True,2.06
9,键盘用起来还行，比预期的大，但是还是有点点小。屏幕还可以，续航时间很长，达到预期。 直接安装正版windows XP 系统，没有任何问题。,正面,正面,"{""label"": ""正面""}",True,2.28
10,LED屏，送货也快。差不多一天半就到货了，而且赶上这次送包和100元抵价卷，不错不错,正面,正面,"{""label"": ""正面""}",True,2.2
